Player,Overall,Position
"Mahomes, Patrick",1,1.01
"Allen, Josh",2.666666667,1.03
"Murray, Kyler",3.333333333,1.03
"McCaffrey, Christian",3.666666667,1.04
"Watson, Deshaun",5.333333333,1.05
"Jackson, Lamar",6,1.06
"Herbert, Justin",7.333333333,1.07
"Barkley, Saquon",7.666666667,1.08
"Taylor, Jonathan",9,1.09
Rookie Pick 1,11,1.11
"Prescott, Dak",13,1.13
"Kamara, Alvin",13,1.13
"Metcalf, DK",13.33333333,2.01
"Burrow, Joe",14.66666667,2.03
"Cook, Dalvin",15,2.03
"Wilson, Russell",15.66666667,2.04
"Adams, Davante",18,2.06
"Jefferson, Justin",19.66666667,2.08
"Henry, Derrick",21,2.09
"Hill, Tyreek",21.33333333,2.09
"Chubb, Nick",22,2.10
"Brown, A.J.",23,2.11
"Kittle, George",23.66666667,2.12
"Akers, Cam",24.33333333,2.12
"Swift, D'Andre",25.66666667,3.02
Rookie Pick 2,25.66666667,3.02
"Diggs, Stefon",26.33333333,3.02
"Kelce, Travis",26.66666667,3.03
"Dobbins, J.K.",28,3.04
"Jacobs, Josh",28.33333333,3.04
"Hopkins, DeAndre",33,3.09
Rookie Pick 3,33.66666667,3.10
"Ridley, Calvin",37.33333333,4.01
"Rodgers, Aaron",38,4.02
"Edwards-Helaire, Clyde",38,4.02
"Waller, Darren",38,4.02
"Lamb, CeeDee",38,4.02
Rookie Pick 4,38.66666667,4.03
"Thomas, Michael",39.33333333,4.03
"Gibson, Antonio",40,4.04
"Elliott, Ezekiel",40.66666667,4.05
"Robinson, James",42.66666667,4.07
"McLaurin, Terry",43,4.07
Rookie Pick 5,43.33333333,4.07
"Jones, Aaron",43.66666667,4.08
"Sanders, Miles",45.66666667,4.10
"Godwin, Chris",47,4.11
"Hurts, Jalen",49.66666667,5.02
"Mixon, Joe",49.66666667,5.02
"Moore, D.J.",50,5.02
"Higgins, Tee",50,5.02
"Montgomery, David",52.33333333,5.04
"Ekeler, Austin",55,5.07
"Andrews, Mark",55,5.07
"Tagovailoa, Tua",55.33333333,5.07
"Stafford, Matthew",55.33333333,5.07
"Allen, Keenan",55.66666667,5.08
Rookie Pick 6,56,5.08
"Evans, Mike",56,5.08
"Tannehill, Ryan",56.33333333,5.08
"Mayfield, Baker",57,5.09
"Robinson, Allen",60.33333333,5.12
Rookie Pick 7,60.66666667,5.13
Rookie Pick 8,65.33333333,6.05
"Cooper, Amari",65.33333333,6.05
"Dillon, AJ",65.66666667,6.06
"Hockenson, T.J.",66.66666667,6.07
"Claypool, Chase",68.66666667,6.09
"Johnson, Diontae",69,6.09
"Wentz, Carson",70,6.10
"Aiyuk, Brandon",71.33333333,6.11
"Smith-Schuster, JuJu",75.33333333,7.03
"Fant, Noah",75.33333333,7.03
Rookie Pick 9,78,7.06
"Ryan, Matt",78,7.06
"Hunt, Kareem",78,7.06
"Sutton, Courtland",78.66666667,7.07
"Cousins, Kirk",79,7.07
"Goedert, Dallas",80,7.08
"Jeudy, Jerry",80.66666667,7.09
"Golladay, Kenny",81.33333333,7.09
Rookie Pick 10,82.66666667,7.11
"Woods, Robert",83,7.11
"Jones, Daniel",84.33333333,7.12
"Henry, Hunter",88.33333333,8.04
"Carr, Derek",89.33333333,8.05
"Brady, Tom",90,8.06
"Shenault, Laviska",90.66666667,8.07
"Goff, Jared",91,8.07
"Boyd, Tyler",91.66666667,8.08
"Kupp, Cooper",91.66666667,8.08
Rookie Pick 11,92,8.08
"Chark, D.J.",93,8.09
"Jones, Julio",93.33333333,8.09
"Samuel, Deebo",93.66666667,8.10
"Beckham, Odell",94,8.10
Rookie Pick 12,95,8.11
"Carson, Chris",98.66666667,9.03
"Gordon, Melvin",98.66666667,9.03
"Harris, Damien",103.3333333,9.07
"Jones, Ronald",103.6666667,9.08
"Lockett, Tyler",104.3333333,9.08
"Pittman, Michael",104.6666667,9.09
"Gesicki, Mike",105,9.09
"Winston, Jameis",105.3333333,9.09
"Tonyan, Robert",106,9.10
"Gaskin, Myles",106.6666667,9.11
Rookie Pick 13,108.3333333,9.12
"Brown, Marquise",108.6666667,9.13
"Thielen, Adam",110.3333333,10.02
"Reagor, Jalen",110.3333333,10.02
"Engram, Evan",112.6666667,10.05
"Drake, Kenyan",113,10.05
Rookie Pick 14,114.6666667,10.07
"Darnold, Sam",116.3333333,10.08
Rookie Pick 15,116.6666667,10.09
"Fournette, Leonard",117.6666667,10.10
"Fuller, Will",118.6666667,10.11
"Landry, Jarvis",118.6666667,10.11
"Thomas, Logan",119.3333333,10.11
"Garoppolo, Jimmy",119.6666667,10.12
"Mims, Denzel",121.3333333,11.01
"Smith Jr., Irv",122.6666667,11.03
"Ruggs, Henry",124,11.04
"Moss, Zack",127.3333333,11.07
"Davis, Corey",127.6666667,11.08
"Samuel, Curtis",127.6666667,11.08
"Mostert, Raheem",128,11.08
Rookie Pick 16,128.6666667,11.09
"Parker, DeVante",130,11.10
"Gallup, Michael",130.6666667,11.11
"Smith, Jonnu",131.3333333,11.11
"Pollard, Tony",132,11.12
"Lock, Drew",132.6666667,11.13
Rookie Pick 17,133,11.13
"Kmet, Cole",134.6666667,12.03
Rookie Pick 18,136.3333333,12.04
"Anderson, Robby",137.6666667,12.06
"Hurst, Hayden",139.3333333,12.07
"Edmonds, Chase",140,12.08
Rookie Pick 19,141,12.09
"Cooks, Brandin",142.3333333,12.10
"Williams, Mike",144,12.12
"Singletary, Devin",146.3333333,13.02
"Mooney, Darnell",146.3333333,13.02
"Conner, James",148.3333333,13.04
"Ertz, Zach",149.3333333,13.05
"Brown, Antonio",149.6666667,13.06
"Johnson, David",151.3333333,13.07
"Love, Jordan",152,13.08
"Hooper, Austin",153.3333333,13.09
"Davis, Gabriel",154.6666667,13.11
"Roethlisberger, Ben",154.6666667,13.11
Rookie Pick 20,155,13.11
"Higbee, Tyler",156.3333333,13.12
"Hardman, Mecole",157.3333333,14.01
"Hines, Nyheim",159.6666667,14.04
"Cohen, Tarik",160,14.04
"Slayton, Darius",162.3333333,14.06
Rookie Pick 21,163.3333333,14.07
Rookie Pick 22,165,14.09
"Trautman, Adam",166,14.10
"Edwards, Bryan",167,14.11
"Wilson, Jeffery",168.6666667,14.13
Rookie Pick 23,169.3333333,15.01
"Mariota, Marcus",169.6666667,15.02
"Hill, Taysom",169.6666667,15.02
"Mattison, Alexander",171,15.03
"Penny, Rashaad",171.3333333,15.03
"Kirk, Christian",172.3333333,15.04
"Crowder, Jamison",173.6666667,15.06
Rookie Pick 24,175.3333333,15.07
"Ebron, Eric",176,15.08
"Shepard, Sterling",180,15.12
"Trubisky, Mitchell",181,15.13
"Vaughn, Ke'Shawn",182,16.02
"McKissic, J.D.",184.3333333,16.04
"Bridgewater, Teddy",184.6666667,16.05
"Gurley, Todd",185.3333333,16.05
"Lindsay, Phillip",185.6666667,16.06
Rookie Pick 25,187.3333333,16.07
"Howard, O.J.",188.6666667,16.09
"Njoku, David",189.3333333,16.09
"Jones, Marvin",189.6666667,16.10
"Campbell, Parris",190,16.10
"Jefferson, Van",191.6666667,16.12
"Lazard, Allen",192.6666667,16.13
Rookie Pick 26,194.3333333,17.02
"Williams, Preston",194.6666667,17.03
"McFarland, Anthony",194.6666667,17.03
"Beasley, Cole",195,17.03
"Henderson, Darrell",197,17.05
"Hilton, T.Y.",198.6666667,17.07
"Mack, Marlon",199.3333333,17.07
"Newton, Cam",199.6666667,17.08
"Hamler, KJ",200.3333333,17.08
"Walker, P.J.",201,17.09
Rookie Pick 27,201.3333333,17.09
"Jarwin, Blake",202,17.10
Rookie Pick 28,203.3333333,17.11
"Williams, Jamaal",203.6666667,17.12
"Brown, John",205,17.13
Rookie Pick 29,205.6666667,18.02
"Herndon, Chris",206,18.02
"Knox, Dawson",206.3333333,18.02
"Edwards, Gus",207,18.03
"Bryant, Harrison",208.3333333,18.04
"Gronkowski, Rob",208.3333333,18.04
Rookie Pick 30,212,18.08
"Miller, Anthony",212.6666667,18.09
"Haskins, Dwayne",215,18.11
"Cephus, Quintez",215,18.11
"Michel, Sony",216,18.12
"Harris, Deonte",217,18.13
"Williams, Damien",218,19.02
Rookie Pick 31,218.3333333,19.02
"Washington, James",218.6666667,19.03
"Gage, Russell",220.3333333,19.04
Rookie Pick 32,221,19.05
"Agholor, Nelson",221.3333333,19.05
"Perine, Lamical",221.6666667,19.06
"Snell, Benny",224,19.08
"Harry, N'Keal",225,19.09
Rookie Pick 33,225.6666667,19.10
"Dallas, DeeJay",227.3333333,19.11
"Evans, Darrynton",227.3333333,19.11
"Bowden, Lynn",228,19.12
"Peoples-Jones, Donovan",229,19.13
"Miller, Scott",229,19.13
Rookie Pick 34,230,20.02
"Johnson, Kerryon",230,20.02
"Schultz, Dalton",230.6666667,20.03
"Kelley, Joshua",231.6666667,20.04
"Fulgham, Travis",235.3333333,20.07
"Davis, Mike",235.6666667,20.08
"Meyers, Jakobi",236.3333333,20.08
"Alie-Cox, Mo",237.6666667,20.10
Rookie Pick 35,238,20.10
"Okwuegbunam, Albert",238.3333333,20.10
"Smith, Ito",239,20.11
"Johnson, Tyler",240,20.12
"Hyde, Carlos",240,20.12
"Valdes-Scantling, Marquez",240.6666667,20.13
"Mullens, Nick",241,20.13
"Green, A.J.",241.3333333,21.01
"Scott, Boston",241.6666667,21.02
"Gallman, Wayne",242.6666667,21.03
Rookie Pick 36,242.6666667,21.03
"White, James",247,21.07
"Everett, Gerald",247,21.07
"Edelman, Julian",247.6666667,21.08
"Bell, Le'Veon",248,21.08
"Renfrow, Hunter",248.3333333,21.08
"Coutee, Keke",250,21.10
Rookie Pick 37,250.3333333,21.10
"Minshew, Gardner",250.6666667,21.11
"Duvernay, Devin",251.3333333,21.11
"Arnold, Dan",254.6666667,22.03
"Dissly, Will",255.3333333,22.03
"Reynolds, Josh",255.6666667,22.04
Rookie Pick 38,257.3333333,22.05
"Fitzpatrick, Ryan",257.6666667,22.06
"Higgins, Rashard",261.3333333,22.09
"Brees, Drew",262.6666667,22.11
"Jeffery, Alshon",263,22.11
Rookie Pick 39,264,22.12
"Johnson, Duke",264.3333333,22.12
"Patrick, Tim",264.3333333,22.12
"Heinicke, Taylor",264.6666667,22.13
"Smith, Tre'Quan",265.3333333,23.01
"Parham, Donald",269.6666667,23.06
"Guyton, Jalen",270,23.06
"Jackson, Justin",270,23.06
"Firkser, Anthony",270.6666667,23.07
"Gandy-Golden, Antonio",271.3333333,23.07
"Murray, Latavius",271.6666667,23.08
"Johnson, Collin",272,23.08
"Watkins, Sammy",273,23.09
"Ahmed, Salvon",273.6666667,23.10
"Robinson, Demarcus",273.6666667,23.10
"Taylor, J.J.",274.6666667,23.11
"Isabella, Andy",275.6666667,23.12
Rookie Pick 40,276,23.12
"Cook, Jared",276.6666667,23.13
Rookie Pick 41,279,24.03
"Westbrook, Dede",279,24.03
"Cole, Keelan",280.6666667,24.05
"Sample, Drew",281,24.05
"Perine, Samaje",283.5,24.08
Rookie Pick 42,285.6666667,24.10
"Pascal, Zach",287.3333333,24.11
"Foreman, D'Onta",288,24.12
"Sanders, Emmanuel",288.3333333,24.12
"Boykin, Miles",288.6666667,24.13
Rookie Pick 43,289,24.13
Rookie Pick 44,290.3333333,25.02
"Hill, Justice",292,25.04
Rookie Pick 45,292,25.04
"Ford, Isaiah",292,25.04
"Ward, Greg",292.5,25.05
"Moreau, Foster",293.5,25.06
"Hasty, JaMycal",293.6666667,25.06
"Freeman, Royce",295.3333333,25.07
"Bourne, Kendrick",295.3333333,25.07
"Bernard, Giovani",295.6666667,25.08
"Asiasi, Devin",296.6666667,25.09
"Ballage, Kalen",298.5,25.11
"Uzomah, C.J.",299.6666667,25.12
"Smith, Alex",301,25.13
"Perriman, Breshad",301.3333333,26.01
Rookie Pick 46,301.6666667,26.02
"Johnson, Tyron",302,26.02
Rookie Pick 47,303.3333333,26.03
"Williams, Tyrell",305,26.05
Rookie Pick 48,305,26.05
"Benjamin, Eno",305.6666667,26.06
"McKinnon, Jerick",306,26.06
"Stidham, Jarrett",306,26.06
"Allen, Kyle",306,26.06
Rookie Pick 49,307,26.07
"Thomas, Ian",307.3333333,26.07
"Dalton, Andy",307.6666667,26.08
"Foster, Robert",309,26.09
"Hurd, Jalen",310.5,26.11
"Harmon, Kelvin",312,26.12
"Burkhead, Rex",313,26.13
"Tate, Golden",314.5,27.03
Rookie Pick 50,315.6666667,27.04
"Doyle, Jack",317,27.05
"Walker, Delanie",317,27.05
"Hopkins, Brycen",317.3333333,27.05
"Ross, John",317.5,27.06
"Sims, Cam",318.3333333,27.06
"Hill, Brian",319,27.07
"Smith, Kaden",319,27.07
Rookie Pick 51,320,27.08
"Warring, Kahale",322,27.10
"Rudolph, Mason",322.5,27.11
"Sims, Steven",324,27.12
"Callaway, Marquez",325,27.13
"Johnson, Ty",325,27.13
"Breida, Matt",325.5,28.02
Rookie Pick 52,326,28.02
"Amendola, Danny",326,28.02
"Coleman, Tevin",326.3333333,28.02
"Burton, Trey",326.3333333,28.02
"Guice, Derrius",327,28.03
"Foles, Nick",328,28.04
"Graham, Jimmy",328,28.04
"Jackson, DeSean",328,28.04
"Peterson, Adrian",329,28.05
"Keene, Dalton",329.3333333,28.05
"Oliver, Josh",330.5,28.07
"Berrios, Braxton",330.5,28.07
"Eason, Jacob",331,28.07
"Brown, Malcolm",331,28.07
Rookie Pick 54,331.5,28.08
"Funchess, Devin",332,28.08
"Abdullah, Ameer",333,28.09
"Eifert, Tyler",334,28.10
"Luck, Andrew",334,28.10
"Moore, David",334,28.10
Rookie Pick 53,335.6666667,28.12
"Parkinson, Colby",336,28.12
"Moss, Thaddeus",336,28.12
"Rudolph, Kyle",336.5,28.13
"Tate, Auden",337,28.13
"Sternberger, Jace",337,28.13
"Watkins, Quez",338,29.02
"Cobb, Randall",339,29.03
"Akins, Jordan",339,29.03
Rookie Pick 58,339,29.03
"Hansen, Chad",339,29.03
"Williams, Darrel",339.5,29.04
Rookie Pick 59,340,29.04
"Arcega-Whiteside, JJ",340,29.04
Rookie Pick 55,341,29.05
Rookie Pick 60,341,29.05
Rookie Pick 56,342,29.06
"Booker, Devontae",343,29.07
"Samuels, Jaylen",344,29.08
"Armstead, Ryquell",345,29.09
"Brate, Cameron",345.6666667,29.10
"Williams, Trayveon",346,29.10
Rookie Pick 57,346.5,29.11
"Taylor, Tyrod",350,30.02
Rookie Pick 61,350,30.02
"Fromm, Jake",352,30.04
"Thompson, Chris",352,30.04
"Allison, Geronimo",353,30.05
"Homer, Travis",353,30.05
"Bryant, Dez",353,30.05
"Byrd, Damiere",353.3333333,30.05
"Pringle, Byron",354,30.06
Rookie Pick 62,356,30.08
"Conklin, Tyler",358,30.10
Rookie Pick 63,358,30.10
"Love, Bryce",359,30.11
"Hill, K.J.",359,30.11
